1. Clave de identificación ,2. Nombre de la planta de tratamiento,3. País,4. Lugar,4a. Cuencas HydroSHEDS L3,5. Clave de identificación nacional de la planta de tratamiento,6. Clave HydroWASTE,7. Año de inicio de operaciones de la planta,8. Operador PTAR,8a. Tipo de operador,"9. Tamaño
[Campo Calculado]",10. Latitude,11. Longitude,12. Latitude de la descarga,13. Longitude de la descarga ,14.Capacidad de tratamiento en litros por segundo (L/s),14a.Capacidad de tratamiento máximo (L/s),15. Caudal de operación promedio (L/s),16. Año de caudal de operación promedio,"Capacidad diseño para clasificación (L/s)
[Campo calculado]","Caudal de operación promedio para análisis (L/s)
[Campo calculado]",17a. Categorías del Proceso de tratamiento  ,17b. Subcategorías del Proceso de tratamiento  ,"Campo de clasificación de procesos de tratamiento
(RML)",18. Detalles del proceso de tratamiento ,19. Estado,20. Destino del agua residual,20a. Categoría de destino,21. Se aprovecha el biogás?,22. Disposición de lodos o fangos resultado del tratamiento,23. Volumen de lodos o fangos (L/s),24. Volumen reutilizado,25. Destino o tipo de uso,27 Notas,28. Fuente de la información,29. Año de información ,30. Fecha de ingreso ,"Observaciones al registro: 
""<Tipo><Fecha> <Iniciales> <Comentario>"":
[INFO] 230725 JM Comentario",Indicador geoposición,Indicador gasto,tipo_regimen,Estado,Municipio
MEX-0539,Lodos activados de la PTAR Del Parque,México,"Durango, Durango",771 Cuencas Vertiente Pacífico de México y América Central,4021,ND,ND,ND,,01 Microplanta o sin dato,24.027274,-104.688806,ND,ND,30.0,30.0,30,2022,30.0,30.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,"6. Suelo, infiltración",03 Terreno,ND,ND,ND,ND,"6. Suelo, infiltración",Destino del efluente: Riego de áreas verdes y llenado del lago.,ANEAS(2022),2022,20230417,,Sí,Sí,NA ,Durango,Durango
MEX-0540,Ciudad Modelo,México,"San José Chiapa, Puebla",771 Cuencas Vertiente Pacífico de México y América Central,5169,ND,ND,ND,,01 Microplanta o sin dato,19.209653,-97.774306,ND,ND,30.0,30.0,30,2022,30.0,30.0,06 Reactor anaerobio de flujo ascendente (RAFA),06.8 Reactor anaerobio de flujo ascendente (RAFA) y biofiltro,,RAFA - RAFA + biofiltro,01 En operación,"6. Suelo, infiltración",03 Terreno,ND,ND,ND,ND,"6. Suelo, infiltración",Destino del efluente: Infiltración áreas verdes.,ANEAS(2022),2022,20230417,,Sí,Sí,NA ,Puebla,San José Chiapa
MEX-0541,Benito Juárez (San Carlos),México,"Macuspana, Tabasco",ND,4488,ND,ND,ND,,01 Microplanta o sin dato,ND,ND,ND,ND,30.0,30.0,30,2022,30.0,30.0,03 Humedales,03 Humedales,,Humedal - ,01 En operación,No se sabe,ND,ND,ND,ND,ND,No se sabe,Destino del efluente: Innominado.,ANEAS(2022),2022,20230417,,No,Sí,NA ,Tabasco,Macuspana
MEX-0355,Villas de San Juan,México,"León, Guanajuato",771 Cuencas Vertiente Pacífico de México y América Central,2190,ND,2005,ND,,02 Mediana,21.08891944,-101.5961056,ND,ND,60.0,60.0,29.59,2022,60.0,29.59,10 Reactor biológico,10.b Reactor biológico de membrana (RBM/MBR),,Lodos Activados - MBR,01 En operación,No se sabe,ND,ND,ND,ND,ND,No se sabe,Destino del efluente: Tajo de Santa Ana.,ANEAS(2022),2022,20230417,,Sí,Sí,NA ,Guanajuato,León
MEX-0354,La Matanza,México,"Cananea, Sonora",ND,4299,ND,ND,ND,,02 Mediana,ND,ND,ND,ND,60.0,60.0,29.47666705,2022,60.0,29.47666705,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Destino del efluente: Río Sonora.,ANEAS(2022),2022,20230417,,No,Sí,NA ,Sonora,Cananea
MEX-0400,Anáhuac,México,"Anáhuac, Nuevo León",752 Río Bravo y cuencas centrales del norte de México,1327,43376,2002,Organismo Operador (Sadm),,02 Mediana,27.2323,-100.1281167,ND,ND,50.0,50.0,29.30292364,2022,50.0,29.30292364,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,"Destino del efluente: Dren ""El Apestoso"" que a su vez descarga al Rio Salado.",ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Nuevo Leon,Anáhuac
MEX-0546,La Venta del Astillero,México,"Zapopan, Jalisco",771 Cuencas Vertiente Pacífico de México y América Central,405,ND,ND,ND,,01 Microplanta o sin dato,20.717122,-103.569408,ND,ND,29.0,29.0,29,2022,29.0,29.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Destino del efluente: Arroyo Las Tortugas.,ANEAS(2022),2022,20230417,,Sí,Sí,,Jalisco,Zapopan
MEX-0530,Villanueva,México,"Villanueva, Zacatecas",771 Cuencas Vertiente Pacífico de México y América Central,2579,ND,2007,Organismo Operador,,01 Microplanta o sin dato,22.341064,-102.887795,ND,ND,30.0,30.0,28.87,2022,30.0,28.87,02 Lagunas,02 Lagunas,,Lagunas - Parcialmente aireadas,01 En operación,No se sabe,ND,No,Para Tierras De Cultivo,ND,ND,No se sabe,Adecuaciones: 2010 adecuaciones. Destino del efluente: Juchipila.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Zacatecas,Villanueva
MEX-0688,San Carlos,México,"Guaymas, Sonora",771 Cuencas Vertiente Pacífico de México y América Central,762,ND,ND,ND,,01 Microplanta o sin dato,27.95965,-111.0508,ND,ND,14.56,14.56,28.80160353,2022,14.56,28.80160353,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de Estabilización,01 En operación,"6. Suelo, infiltración",03 Terreno,No,,,ND,"6. Suelo, infiltración",Destino del efluente: Riego campo de golf.,ANEAS(2022),2022,20230417,,Sí,Sí,,Sonora,Guaymas
MEX-0529,Jalpa,México,"Jalpa, Zacatecas",771 Cuencas Vertiente Pacífico de México y América Central,2629,ND,2007,Organismo Operador,,01 Microplanta o sin dato,21.613735,-102.98642,ND,ND,30.0,30.0,28.53,2022,30.0,28.53,02 Lagunas,02 Lagunas,,Lagunas - Parcialmente aireadas,01 En operación,5. Ríos,01 Río o corriente,No,Basurero Municipal,ND,ND,5. Ríos,Destino del efluente: Río Juchipila.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Zacatecas,Jalpa
MEX-0478,Concordia,México,"Concordia, Sinaloa",ND,1355,ND,ND,ND,,01 Microplanta o sin dato,ND,ND,ND,ND,36.7,36.7,28.5,2022,36.7,28.5,06 Reactor anaerobio de flujo ascendente (RAFA),06.1 Reactor anaerobio de flujo ascendente (RAFA) y humedal,,RAFA - Más humedal,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Destino del efluente: Arroyo Concordia (100% agua tratada con reúso indirecto ambiental).,ANEAS(2022),2022,20230417,,No,Sí,NA ,Sinaloa,Concordia
MEX-0340,Tenango del valle,México,"Tenango del Valle, México",771 Cuencas Vertiente Pacífico de México y América Central,4143,ND,2013,Organismo Estatal (Caem),,02 Mediana,19.116206,-99.570186,ND,ND,68.0,68.0,28.13,2022,68.0,28.13,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Adecuaciones: No. Destino del efluente: Canales de riego/ Río Lerma.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Mexico,Tenango del Valle
MEX-0399,San Miguel Interpuerto,México,"Salinas Victoria, Nuevo León",752 Río Bravo y cuencas centrales del norte de México,4029,ND,2015,Organismo Operador (Sadm),,02 Mediana,25.91879444,-100.238,ND,ND,50.0,50.0,28,2022,50.0,28.0,01 Lodos activados,01 Lodos activados,,"Lodos Activados - Dual, no genera lodo",01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Destino del efluente: Arroyo Vaquerías.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Nuevo Leon,Salinas Victoria
MEX-0479,Anáhuac,México,"Cuauhtémoc, Chihuahua",752 Río Bravo y cuencas centrales del norte de México,4043,ND,ND,ND,,01 Microplanta o sin dato,28.49173056,-106.7670111,ND,ND,36.6,36.6,28,2022,36.6,28.0,02 Lagunas,02 Lagunas,,Lagunas - ,01 En operación,4. Embalses,02 Cuerpo de agua,No,,,ND,4. Embalses,Destino del efluente: L.BUSTILLOS Y DE LOS MEXICANOS .,ANEAS(2022),2022,20230417,,Sí,Sí,,Chihuahua,Cuauhtémoc
MEX-0528,Chemuyil,México,"Tulum, Quintana Roo",753 Golfo de México y vertiente Atlántico de América C.,3752,44576,2012,Capa,,01 Microplanta o sin dato,20.34880556,-87.35605556,ND,ND,30.0,30.0,28,2022,30.0,28.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - Convencional,01 En operación,1. Suelo cárstico,03 Terreno,No,Relleno Sanitario,ND,ND,1. Suelo cárstico,Destino del efluente: Acuífero.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Quintana Roo,Tulum
MEX-0527,Suchiapa,México,"Suchiapa, Chiapas",753 Golfo de México y vertiente Atlántico de América C.,184,ND,ND,ND,,01 Microplanta o sin dato,16.610696,-93.094679,ND,ND,30.0,30.0,27.77,2022,30.0,27.77,06 Reactor anaerobio de flujo ascendente (RAFA),06 Reactor anaerobio de flujo ascendente (RAFA),,RAFA - ,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Destino del efluente: Arroyo Suchiapa.,ANEAS(2022),2022,20230417,,Sí,Sí,,Chiapas,Suchiapa
MEX-0437,Lagunas de Cuencamé De Ceniceros,México,"Cuencamé, Durango",752 Río Bravo y cuencas centrales del norte de México,245,ND,ND,ND,,01 Microplanta o sin dato,24.900491,-103.674821,ND,ND,45.0,45.0,27.2,2022,45.0,27.2,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de Estabilización,01 En operación,5. Ríos,01 Río o corriente,No,,,ND,5. Ríos,Destino del efluente: Arroyo de la Barranca.,ANEAS(2022),2022,20230417,,Sí,Sí,,Durango,Cuencamé
MEX-0526,Sonoita 1,México,"General Plutarco Elías Calles, Sonora",771 Cuencas Vertiente Pacífico de México y América Central,3401,ND,ND,ND,,01 Microplanta o sin dato,31.87333333,-112.8989333,ND,ND,30.0,30.0,27.12156974,2022,30.0,27.12156974,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de Estabilización,01 En operación,5. Ríos,01 Río o corriente,No,,,ND,5. Ríos,Destino del efluente: Río Sonoyta.,ANEAS(2022),2022,20230417,,Sí,Sí,,Sonora,General Plutarco Elías Calles
MEX-0380,Residencial del Parque /El Mirador (Fraccionamiento),México,"El Marqués, Querétaro",771 Cuencas Vertiente Pacífico de México y América Central,S/N,ND,2021,Organismo Operador Cea Qro,,02 Mediana,20.588124,-100.338094,ND,ND,57.0,57.0,27,2022,57.0,27.0,01 Lodos activados,01.a Lodos activados aireación extendida,,Lodos Activados - Aireación Extendida,01 En operación,"6. Suelo, infiltración",03 Terreno,No,Campos Agrícolas,ND,ND,"6. Suelo, infiltración",Destino del efluente: Indirecto ambiental.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Queretaro,El Marqués
MEX-0498,San Antonio Tlayacapan-AJIJIC,México,"Chapala, Jalisco",771 Cuencas Vertiente Pacífico de México y América Central,350,ND,1989,Organismo Estatal,,01 Microplanta o sin dato,20.295347,-103.245867,ND,ND,32.0,32.0,27,2022,32.0,27.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,4. Embalses,02 Cuerpo de agua,No,Terrenos De Cultivo,ND,ND,4. Embalses,Destino del efluente: Lago de Chapala.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Jalisco,Chapala
MEX-0525,Villa Unión,México,"Poanas, Durango",771 Cuencas Vertiente Pacífico de México y América Central,282,ND,ND,ND,,01 Microplanta o sin dato,23.96786111,-104.0585,ND,ND,30.0,30.0,27,2022,30.0,27.0,02 Lagunas,02 Lagunas,,Lagunas - ,01 En operación,5. Ríos,01 Río o corriente,No,,,ND,5. Ríos,Destino del efluente: Río Poanas y riego Agrícola de 10 Ha. De alfalfa y 5 Ha. De avena forrajera.,ANEAS(2022),2022,20230417,,Sí,Sí,NA ,Durango,Poanas
MEX-0863,Jocotitlán,México,"Jocotitlán, Jocotitlán, México",771 Cuencas Vertiente Pacífico de México y América Central,423,ND,ND,ND,,01 Microplanta o sin dato,19.71182,-99.7858,ND,ND,30.0,30.0,27,ND,30.0,27.0,01 Lodos activados,01.b Lodos activados zanja de oxidación,,Lodos activados (zanjas de oxidación),05 No reportada (se asume en operación),Arroyo Mataburro,01 Río o corriente,ND,ND,ND,ND,Arroyo Mataburro,Coordenada localidad,CONAGUA(2022),2020,20230608,,Sí,Sí,NA ,Mexico,Jocotitlán
MEX-0549,Ahumada,México,"Ahumada, Chihuahua",752 Río Bravo y cuencas centrales del norte de México,2340,ND,ND,ND,,01 Microplanta o sin dato,30.64696667,-106.50205,ND,ND,28.0,28.0,26.6,2022,28.0,26.6,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de Estabilización,01 En operación,5. Ríos,01 Río o corriente,No,,,ND,5. Ríos,"Destino del efluente: ARROYO EL CARRIZO Y OTROS, LAGUNA DE PATOS .",ANEAS(2022),2022,20230417,,Sí,Sí,NA ,Chihuahua,Ahumada
MEX-0523,Honorable Colegio Militar,México,"Tlalpan, Ciudad De México",ND,1274,ND,ND,ND,,01 Microplanta o sin dato,ND,ND,ND,ND,30.0,30.0,26,2022,30.0,26.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,"6. Suelo, infiltración",03 Terreno,ND,ND,ND,ND,"6. Suelo, infiltración",Destino del efluente: Riego de áreas verdes.,ANEAS(2022),2022,20230417,,No,Sí,NA ,Ciudad De Mexico,Tlalpan
MEX-0524,Valtierrilla,México,"Salamanca, Guanajuato",771 Cuencas Vertiente Pacífico de México y América Central,3931,ND,ND,ND,,01 Microplanta o sin dato,20.52847778,-101.1411389,ND,ND,30.0,30.0,26,2022,30.0,26.0,06 Reactor anaerobio de flujo ascendente (RAFA),06.8 Reactor anaerobio de flujo ascendente (RAFA) y biofiltro,,RAFA - Más biofiltros,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Destino del efluente: Río Laja.,ANEAS(2022),2022,20230417,,Sí,Sí,NA ,Guanajuato,Salamanca
MEX-0556,Aldama,México,"Aldama, Tamaulipas",753 Golfo de México y vertiente Atlántico de América C.,2124,ND,ND,ND,,01 Microplanta o sin dato,22.89666667,-98.08861111,ND,ND,26.0,26.0,26,2022,26.0,26.0,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de Estabilización,01 En operación,5. Ríos,01 Río o corriente,No,,,ND,5. Ríos,Destino del efluente: Río Tigre.,ANEAS(2022),2022,20230417,,Sí,Sí,NA ,Tamaulipas,Aldama
MEX-0295,Intermunicipal Ixtapan-Tonatico,México,"Tonatico, México",771 Cuencas Vertiente Pacífico de México y América Central,3331,ND,2010,Organismo Estatal (Caem),,02 Mediana,18.788652,-99.664453,ND,ND,80.0,80.0,25.81,2022,80.0,25.81,01 Lodos activados,01 Lodos activados,,Lodos Activados - Convencional,01 En operación,5. Ríos,01 Río o corriente,No,Zona Aledaña A La Planta,ND,ND,5. Ríos,Adecuaciones: no. Destino del efluente: Río El Salado.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Mexico,Tonatico
MEX-0522,Tepehuanes I,México,"Tepehuanes, Durango",752 Río Bravo y cuencas centrales del norte de México,294,42840,ND,ND,,01 Microplanta o sin dato,25.33797222,-105.7163889,ND,ND,30.0,30.0,25.7,2022,30.0,25.7,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de Estabilización,01 En operación,5. Ríos,01 Río o corriente,No,,,ND,5. Ríos,Destino del efluente: Rio Tepehuanes.,ANEAS(2022),2022,20230417,,Sí,Sí,,Durango,Tepehuanes
MEX-0577,Laguna Real,México,"Veracruz, Veracruz De Ignacio De La Llave",753 Golfo de México y vertiente Atlántico de América C.,1647,ND,ND,ND,,01 Microplanta o sin dato,19.1434111,-96.1569,ND,ND,25.0,25.0,25.6,2022,25.0,25.6,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,4. Embalses,02 Cuerpo de agua,ND,ND,ND,ND,4. Embalses,Destino del efluente: Laguna Olmeca.,ANEAS(2022),2022,20230417,,Sí,Sí,,Veracruz De Ignacio De La Llave,Veracruz
MEX-0284,San Luis de la Paz,México,"San Luis de la Paz, Guanajuato",771 Cuencas Vertiente Pacífico de México y América Central,2460,ND,ND,ND,,02 Mediana,21.2996268,-100.548312,ND,ND,90.0,90.0,25.2,2022,90.0,25.2,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,No se sabe,ND,ND,ND,ND,ND,No se sabe,Destino del efluente: Rancho el Bailón.,ANEAS(2022),2022,20230417,,Sí,Sí,,Guanajuato,San Luis de la Paz
MEX-0325,Tetla,México,"Tetla de la Solidaridad, Tlaxcala",771 Cuencas Vertiente Pacífico de México y América Central,1082,ND,ND,Municipio,,02 Mediana,19.426552,-98.101632,ND,ND,70.3,70.3,25.17,2022,70.3,25.17,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de Estabilización,01 En operación,5. Ríos,01 Río o corriente,No,,,ND,5. Ríos,Destino del efluente: Río Texcalac.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Tlaxcala,Tetla de la Solidaridad
MEX-0226,Villas del Rey (Bicentenario),México,"Huehuetoca, México",753 Golfo de México y vertiente Atlántico de América C.,3664,ND,2011,ND,,03 Grande,19.830578,-99.26613,19.83041,-99.2665,120.0,120.0,25,2022,120.0,25.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,"6. Suelo, infiltración",03 Terreno,ND,ND,ND,ND,"6. Suelo, infiltración",Destino del efluente: Terreno de cultivo. Bordo Cuevecillas.,ANEAS(2022),2022,20230417,,Sí,Sí,,Mexico,Huehuetoca
MEX-0312,Los Cangrejos,México,"Los Cabos, Baja California Sur",774 Cuencas de California y Baja California,3694,ND,ND,ND,,02 Mediana,22.899965,-109.965054,ND,ND,75.0,75.0,25,2022,75.0,25.0,01 Lodos activados,01.b Lodos activados zanja de oxidación,,Lodos Activados - Zanjas de oxidación,01 En operación,"2. Suelo, riego áreas verdes",03 Terreno,ND,ND,ND,ND,"2. Suelo, riego áreas verdes",Destino del efluente: Campos de golf.,ANEAS(2022),2022,20230417,,Sí,Sí,,Baja California Sur,Los Cabos
MEX-0344,Tres Marias,México,"Morelia, Michoacán De Ocampo",771 Cuencas Vertiente Pacífico de México y América Central,4256,ND,ND,Organismo Operador,,02 Mediana,19.694386,-101.110534,ND,ND,67.0,67.0,25,2022,67.0,25.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,4. Embalses,02 Cuerpo de agua,No,ND,ND,ND,4. Embalses,"Destino del efluente: Lago del Hoyo 5, Club de Golf Tres Marías.",ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Michoacan De Ocampo,Morelia
MEX-0385,San Blas,México,"San Blas, Nayarit",771 Cuencas Vertiente Pacífico de México y América Central,528,ND,ND,ND,,02 Mediana,21.53241,-105.271463,ND,ND,51.0,51.0,25,2022,51.0,25.0,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de Estabilización,01 En operación,5. Ríos,01 Río o corriente,No,,,ND,5. Ríos,Destino del efluente: Arroyo sin nombre.,ANEAS(2022),2022,20230417,,Sí,Sí,,Nayarit,San Blas
MEX-0396,Regional,México,"Xochitepec, Morelos",771 Cuencas Vertiente Pacífico de México y América Central,2566,ND,ND,ND,,02 Mediana,18.76511389,-99.23123611,ND,ND,50.0,50.0,25,2022,50.0,25.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,"Destino del efluente: Río Salado, afluente del río Apatlaco.",ANEAS(2022),2022,20230417,,Sí,Sí,,Morelos,Xochitepec
MEX-0397,Ometepec,México,"Ometepec, Guerrero",771 Cuencas Vertiente Pacífico de México y América Central,3829,ND,2013,Organismo Operador,,02 Mediana,16.67307222,-98.41181111,ND,ND,50.0,50.0,25,2022,50.0,25.0,01 Lodos activados,01 Lodos activados,,Lodos Activados - ,01 En operación,5. Ríos,01 Río o corriente,No,ND,ND,ND,5. Ríos,Destino del efluente: Arroyo Talapa.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Guerrero,Ometepec
MEX-0398,San José Iturbide,México,"San José Iturbide, Guanajuato",771 Cuencas Vertiente Pacífico de México y América Central,3802,ND,ND,ND,,02 Mediana,21.03770278,-100.4165944,ND,ND,50.0,50.0,25,2022,50.0,25.0,06 Reactor anaerobio de flujo ascendente (RAFA),06.1 Reactor anaerobio de flujo ascendente (RAFA) y humedal,,RAFA - Más humedal,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Destino del efluente: Canal Tepozanes.,ANEAS(2022),2022,20230417,,Sí,Sí,,Guanajuato,San José Iturbide
MEX-0416,Fraccionamiento Pomoca,México,"Nacajuca, Tabasco",753 Golfo de México y vertiente Atlántico de América C.,3621,ND,ND,ND,,02 Mediana,18.05315556,-92.93409167,ND,ND,50.0,50.0,25,2022,50.0,25.0,01 Lodos activados,01.a Lodos activados aireación extendida,,Lodos Activados - Aireación Extendida,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Destino del efluente: ARROYO EL ZAPOTE.,ANEAS(2022),2022,20230417,,Sí,Sí,,Tabasco,Nacajuca
MEX-0461,Salinas Victoria,México,"Salinas Victoria, Nuevo León",752 Río Bravo y cuencas centrales del norte de México,4327,ND,2016,Organismo Operador (Sadm),,01 Microplanta o sin dato,25.96940278,-100.26905,ND,ND,40.0,40.0,25,2022,40.0,25.0,01 Lodos activados,01 Lodos activados,,"Lodos Activados - Dual, no genera lodo",01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Destino del efluente: Río Salinas.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Nuevo Leon,Salinas Victoria
MEX-0491,Nuevo Ideal,México,"Nuevo Ideal, Durango",752 Río Bravo y cuencas centrales del norte de México,271,ND,ND,ND,,01 Microplanta o sin dato,24.914245,-105.057095,ND,ND,33.0,33.0,25,2022,33.0,25.0,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de Estabilización,01 En operación,5. Ríos,01 Río o corriente,No,,,ND,5. Ríos,Destino del efluente: Arroyo el gato.,ANEAS(2022),2022,20230417,,Sí,Sí,,Durango,Nuevo Ideal
MEX-0499,San Juanito,México,"Bocoyna, Chihuahua",752 Río Bravo y cuencas centrales del norte de México,3681,ND,ND,ND,,01 Microplanta o sin dato,27.9362,-107.6072472,ND,ND,31.0,31.0,25,2022,31.0,25.0,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de Estabilización,01 En operación,5. Ríos,01 Río o corriente,No,,,ND,5. Ríos,"Destino del efluente: RIO CONCHOS, P. DE LA COLINA .",ANEAS(2022),2022,20230417,,Sí,Sí,,Chihuahua,Bocoyna
MEX-0502,Lázaro Cárdenas,México,"Meoqui, Chihuahua",752 Río Bravo y cuencas centrales del norte de México,3297,ND,ND,ND,,01 Microplanta o sin dato,28.40041111,-105.6053611,ND,ND,30.8,30.8,25,2022,30.8,25.0,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de Estabilización,01 En operación,5. Ríos,01 Río o corriente,No,,,ND,5. Ríos,Destino del efluente: Arroyo local.,ANEAS(2022),2022,20230417,,Sí,Sí,,Chihuahua,Meoqui
MEX-0521,Tarimoro,México,"Tarimoro, Guanajuato",771 Cuencas Vertiente Pacífico de México y América Central,3942,ND,2011,Organismo Operador,,01 Microplanta o sin dato,20.284892,-100.778092,ND,ND,30.0,30.0,25,2022,30.0,25.0,06 Reactor anaerobio de flujo ascendente (RAFA),06.1 Reactor anaerobio de flujo ascendente (RAFA) y humedal,,RAFA - Más humedal,01 En operación,5. Ríos,01 Río o corriente,No,"Deportiva, Interior De Ptar",ND,ND,5. Ríos,Adecuaciones: no. Destino del efluente: Arroyo Grande de Tarimoro.,ANEAS(2022),2022,20230417,,Sí,Sí,Publico,Guanajuato,Tarimoro
MEX-0570,Compostela,México,"Compostela, Nayarit",771 Cuencas Vertiente Pacífico de México y América Central,514,ND,ND,ND,,01 Microplanta o sin dato,21.24533,-104.915923,ND,ND,25.0,25.0,25,2022,25.0,25.0,05 Biodiscos,05 Biodiscos,,Biodiscos - ,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Destino del efluente: Río Huicicila.,ANEAS(2022),2022,20230417,,Sí,Sí,NA ,Nayarit,Compostela
MEX-0571,Magdalena,México,"Magdalena, Jalisco",771 Cuencas Vertiente Pacífico de México y América Central,369,ND,1992,ND,,01 Microplanta o sin dato,20.899261,-103.99695,ND,ND,25.0,25.0,25,2022,25.0,25.0,04 Biofiltros,04 Biofiltros,,Biofiltros - ,01 En operación,4. Embalses,02 Cuerpo de agua,ND,ND,ND,ND,4. Embalses,Destino del efluente: Laguna de Magdalena.,ANEAS(2022),2022,20230417,,Sí,Sí,NA ,Jalisco,Magdalena
MEX-0572,Tapalpa,México,"Tapalpa, Jalisco",771 Cuencas Vertiente Pacífico de México y América Central,385,ND,1997,ND,,01 Microplanta o sin dato,19.929339,-103.753151,ND,ND,25.0,25.0,25,2022,25.0,25.0,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de Estabilización,01 En operación,4. Embalses,02 Cuerpo de agua,No,,,ND,4. Embalses,Destino del efluente: Presa el Nogal.,ANEAS(2022),2022,20230417,,Sí,Sí,NA ,Jalisco,Tapalpa
MEX-0573,Nuevo Progreso,México,"Río Bravo, Tamaulipas",ND,850,ND,ND,ND,,01 Microplanta o sin dato,ND,ND,ND,ND,25.0,25.0,25,2022,25.0,25.0,02 Lagunas,02 Lagunas,,Lagunas - Lagunas de Estabilización,01 En operación,No se sabe,ND,No,,,ND,No se sabe,Destino del efluente: nuevo progreso.,ANEAS(2022),2022,20230417,,No,Sí,NA ,Tamaulipas,Río Bravo
MEX-0574,Laguna de Patos,México,"Juárez, Chihuahua",752 Río Bravo y cuencas centrales del norte de México,3683,ND,ND,ND,,01 Microplanta o sin dato,31.54208333,-106.3447444,ND,ND,25.0,25.0,25,2022,25.0,25.0,01 Lodos activados,01.a Lodos activados aireación extendida,,Lodos Activados - aireación extendida,01 En operación,8. Reúso,05 Reúso directo,ND,ND,ND,ND,8. Reúso,Destino del efluente: REÚSO INDIRECTO URBANO.,ANEAS(2022),2022,20230417,,Sí,Sí,NA ,Chihuahua,Juárez
MEX-0575,La Trinitaria,México,"La Trinitaria, Chiapas",753 Golfo de México y vertiente Atlántico de América C.,2259,ND,ND,ND,,01 Microplanta o sin dato,16.10121944,-92.04561389,ND,ND,25.0,25.0,25,2022,25.0,25.0,06 Reactor anaerobio de flujo ascendente (RAFA),06.1 Reactor anaerobio de flujo ascendente (RAFA) y humedal,,RAFA - Más humedal,01 En operación,5. Ríos,01 Río o corriente,ND,ND,ND,ND,5. Ríos,Destino del efluente: Arroyo Sabinal y Grutas de San Francisco.,ANEAS(2022),2022,20230417,,Sí,Sí,NA ,Chiapas,La Trinitaria
